entity_id,safe_id,name,name_en,description_len,release_tier,concept_kind,degree,coverage_role,batch,cardable,card_status,infograph_status
ctc:modeling-3abaeb7a2cbf8d77276bf23c,ctc_modeling-3abaeb7a2cbf8d77276bf23c,领域概念,modeling_3abaeb7a2cbf8d77276bf23c,184,silver,theoretical_construct,1,necessary_prerequisite,A,True,ok,accepted
ctc:modeling-a5274fe5fb3f346f6aff0ddd,ctc_modeling-a5274fe5fb3f346f6aff0ddd,Analytical results and tools,modeling_a5274fe5fb3f346f6aff0ddd,186,silver,analysis_method,1,explicit_extension,A,True,ok,accepted
ctc:v11g-110792a593c8f23f058bf750,ctc_v11g-110792a593c8f23f058bf750,I型系统,type_one_system,20,gold,system_kind,1,formal_objective,A,True,ok,accepted
ctc:v11g-8dbc090e09d5c07e280c6319,ctc_v11g-8dbc090e09d5c07e280c6319,静态速度误差系数,static_velocity_error_constant,25,gold,performance_metric,1,formal_objective,A,True,ok,accepted
ctc:v11g-d25e6196c789c546f7a61064,ctc_v11g-d25e6196c789c546f7a61064,正反馈内回路,positive_feedback_inner_loop,34,gold,system_component,1,formal_objective,A,True,ok,accepted
ctc:v11g-e73425ff41e0f022a641c4cd,ctc_v11g-e73425ff41e0f022a641c4cd,K_G*,forward_path_root_locus_gain,34,gold,mathematical_object,1,formal_objective,A,True,ok,accepted
ctc:v11g-f0a551cbfb667c38018a1aa9,ctc_v11g-f0a551cbfb667c38018a1aa9,开环极点,open_loop_poles,21,gold,mathematical_object,1,formal_objective,A,True,ok,accepted
ctc:v12g-15b7fb1d68889848e3c50c46,ctc_v12g-15b7fb1d68889848e3c50c46,根轨迹增益,root_locus_gain,26,gold,mathematical_object,1,formal_objective,A,True,ok,accepted
ctc:0f418dc24d2aacaaafdcdcc0,ctc_0f418dc24d2aacaaafdcdcc0,前向通路上各支路增益之乘积,modeling_v2r_recovered_73552d8da29fbd2073b5f21a,25,silver,theoretical_construct,0,formal_objective,A,True,ok,accepted
ctc:909e732d40f972bf760fa8ff,ctc_909e732d40f972bf760fa8ff,v5c disturbance targeted,v5c_disturbance_targeted,288,gold,signal_role,0,explicit_extension,A,True,ok,accepted
ctc:modeling-035c9d54765ac2b02802c971,ctc_modeling-035c9d54765ac2b02802c971,离散系统,modeling_035c9d54765ac2b02802c971,96,silver,theoretical_construct,0,explicit_extension,A,True,ok,accepted
ctc:modeling-07799c3f876317e36fe669f8,ctc_modeling-07799c3f876317e36fe669f8,信号流图的特征式,modeling_07799c3f876317e36fe669f8,160,silver,theoretical_construct,0,formal_objective,A,True,ok,accepted
ctc:modeling-0810a8f6329a55f3696b8b21,ctc_modeling-0810a8f6329a55f3696b8b21,离散系统状态方程中矩阵 G 的…,modeling_0810a8f6329a55f3696b8b21,30,silver,theoretical_construct,0,explicit_extension,A,True,ok,accepted
ctc:modeling-0ae282f545b3c7aad3f3b142,ctc_modeling-0ae282f545b3c7aad3f3b142,领域概念,modeling_0ae282f545b3c7aad3f3b142,156,silver,analysis_method,0,explicit_extension,A,True,ok,accepted
ctc:modeling-0cb360fdf4bd5a71b47de347,ctc_modeling-0cb360fdf4bd5a71b47de347,method to derive state,modeling_0cb360fdf4bd5a71b47de347,244,silver,analysis_method,0,explicit_extension,A,True,ok,accepted
ctc:modeling-0d2d78a5b1450e4732ac262c,ctc_modeling-0d2d78a5b1450e4732ac262c,领域概念,modeling_0d2d78a5b1450e4732ac262c,150,silver,analysis_method,0,necessary_prerequisite,A,True,ok,accepted
ctc:modeling-0dd26e5dad1221fb520f0be6,ctc_modeling-0dd26e5dad1221fb520f0be6,偏差向量至反馈向量之间的传递矩…,modeling_0dd26e5dad1221fb520f0be6,26,silver,theoretical_construct,0,explicit_extension,A,True,ok,accepted
ctc:modeling-1324d28fa14e065c6bf101be,ctc_modeling-1324d28fa14e065c6bf101be,求解齐次状态方程的一种方法,modeling_1324d28fa14e065c6bf101be,50,silver,analysis_method,0,explicit_extension,A,True,ok,accepted
ctc:modeling-137c3394c7a146209fe2cd37,ctc_modeling-137c3394c7a146209fe2cd37,领域概念,modeling_137c3394c7a146209fe2cd37,155,silver,analysis_method,0,necessary_prerequisite,A,True,ok,accepted
ctc:modeling-14dc921a2171d3adbe16bbf1,ctc_modeling-14dc921a2171d3adbe16bbf1,根据系统机理建立微分或差分方程…,modeling_14dc921a2171d3adbe16bbf1,59,silver,analysis_method,0,explicit_extension,A,True,ok,accepted
ctc:modeling-1687db68b267504e01f6f2b4,ctc_modeling-1687db68b267504e01f6f2b4,先由系统原理图画出系统方框图,modeling_1687db68b267504e01f6f2b4,37,silver,analysis_method,0,formal_objective,A,True,ok,accepted
ctc:modeling-1856c331960e3c439dcc999f,ctc_modeling-1856c331960e3c439dcc999f,领域概念,modeling_1856c331960e3c439dcc999f,287,silver,analysis_method,0,explicit_extension,A,True,ok,accepted
ctc:modeling-19fcaf11e98efb8b7abe46b7,ctc_modeling-19fcaf11e98efb8b7abe46b7,将系统结构图转换为信号流图的方法,modeling_19fcaf11e98efb8b7abe46b7,119,silver,analysis_method,0,formal_objective,A,True,ok,accepted
ctc:modeling-1ca9b9e7c47289b157be60ab,ctc_modeling-1ca9b9e7c47289b157be60ab,输入向量至输出向量之间的传递矩阵,modeling_1ca9b9e7c47289b157be60ab,17,silver,theoretical_construct,0,explicit_extension,A,False,ok,accepted
ctc:modeling-1d8759ac1188e2de38f75ed3,ctc_modeling-1d8759ac1188e2de38f75ed3,The path of the,modeling_1d8759ac1188e2de38f75ed3,88,silver,theoretical_construct,0,explicit_extension,A,True,ok,accepted
ctc:modeling-2175d5717ff3333e7780bba0,ctc_modeling-2175d5717ff3333e7780bba0,线性定常微分方程的求解方法有经…,modeling_2175d5717ff3333e7780bba0,40,silver,analysis_method,0,formal_objective,A,True,ok,accepted
ctc:modeling-24b7f0a084cdfe7e6f1b42dc,ctc_modeling-24b7f0a084cdfe7e6f1b42dc,Methods for the solution,modeling_24b7f0a084cdfe7e6f1b42dc,95,silver,analysis_method,0,explicit_extension,A,True,ok,accepted
ctc:modeling-26ca57c1d48b4588cb72f6a0,ctc_modeling-26ca57c1d48b4588cb72f6a0,system that is both,modeling_26ca57c1d48b4588cb72f6a0,98,silver,theoretical_construct,0,necessary_prerequisite,A,True,ok,accepted
ctc:modeling-2b2438ba804d1feebcee9a96,ctc_modeling-2b2438ba804d1feebcee9a96,method for obtaining the,modeling_2b2438ba804d1feebcee9a96,196,silver,analysis_method,0,necessary_prerequisite,A,True,ok,accepted
ctc:modeling-30d05b970a0d4a71c9d243c3,ctc_modeling-30d05b970a0d4a71c9d243c3,Various levels of simulation,modeling_30d05b970a0d4a71c9d243c3,408,silver,theoretical_construct,0,explicit_extension,A,True,ok,accepted
ctc:modeling-32c90d17122e73c35abdab90,ctc_modeling-32c90d17122e73c35abdab90,领域概念,modeling_32c90d17122e73c35abdab90,119,silver,theoretical_construct,0,explicit_extension,A,True,ok,accepted
ctc:modeling-342138cd12f0e7fce63c7dc3,ctc_modeling-342138cd12f0e7fce63c7dc3,离散系统状态方程中矩阵 G 和…,modeling_342138cd12f0e7fce63c7dc3,32,silver,theoretical_construct,0,explicit_extension,A,True,ok,accepted
ctc:modeling-348746457d644126ff8ecf77,ctc_modeling-348746457d644126ff8ecf77,一个含约当块的矩阵,modeling_348746457d644126ff8ecf77,49,silver,theoretical_construct,0,explicit_extension,A,True,ok,accepted
ctc:modeling-352b9bfe27ba1ab6b9c9672e,ctc_modeling-352b9bfe27ba1ab6b9c9672e,When the sensor and,modeling_352b9bfe27ba1ab6b9c9672e,118,silver,theoretical_construct,0,explicit_extension,A,True,ok,accepted
ctc:modeling-38bfb4cb62b1e9f867f951ae,ctc_modeling-38bfb4cb62b1e9f867f951ae,输入向量至偏差向量之间的传递矩阵,modeling_38bfb4cb62b1e9f867f951ae,17,silver,theoretical_construct,0,explicit_extension,A,False,ok,accepted
ctc:modeling-3b82234a76ee637f43e7eb31,ctc_modeling-3b82234a76ee637f43e7eb31,1) 确定输入量和输出量,modeling_3b82234a76ee637f43e7eb31,33,silver,analysis_method,0,formal_objective,A,True,ok,accepted
ctc:modeling-405a39dbba1f6754b8e08afc,ctc_modeling-405a39dbba1f6754b8e08afc,信号流图中每个单独回路的增益,modeling_405a39dbba1f6754b8e08afc,15,silver,theoretical_construct,0,formal_objective,A,False,ok,accepted
ctc:modeling-43db7af217e7530329f7d3ee,ctc_modeling-43db7af217e7530329f7d3ee,将传递函数分解为严格有理真分式…,modeling_43db7af217e7530329f7d3ee,56,silver,analysis_method,0,explicit_extension,A,True,ok,accepted
ctc:modeling-4633e458d7b6508b49488fbb,ctc_modeling-4633e458d7b6508b49488fbb,领域概念,modeling_4633e458d7b6508b49488fbb,150,silver,analysis_method,0,necessary_prerequisite,A,True,ok,accepted
ctc:modeling-46c092af27c437226e4dc849,ctc_modeling-46c092af27c437226e4dc849,状态空间表达式中n×p的系数矩阵,modeling_46c092af27c437226e4dc849,24,silver,theoretical_construct,0,explicit_extension,A,True,ok,accepted
ctc:modeling-47a00ebb2fb5027988fd918d,ctc_modeling-47a00ebb2fb5027988fd918d,type of ideal element,modeling_47a00ebb2fb5027988fd918d,157,silver,theoretical_construct,0,necessary_prerequisite,A,True,ok,accepted
ctc:modeling-4ab0ef32a4b6e8688292e5d1,ctc_modeling-4ab0ef32a4b6e8688292e5d1,signal that is zero,modeling_4ab0ef32a4b6e8688292e5d1,53,silver,theoretical_construct,0,necessary_prerequisite,A,True,ok,accepted
ctc:modeling-4c7a0114a15c9e4039f6d193,ctc_modeling-4c7a0114a15c9e4039f6d193,回路中所有支路增益之乘积,modeling_4c7a0114a15c9e4039f6d193,22,silver,theoretical_construct,0,formal_objective,A,True,ok,accepted
ctc:modeling-4d823b7e3681c86fecb9559a,ctc_modeling-4d823b7e3681c86fecb9559a,The coefficients in partial,modeling_4d823b7e3681c86fecb9559a,193,silver,theoretical_construct,0,necessary_prerequisite,A,True,ok,accepted
ctc:modeling-508c28b45e84e9ad245a12e1,ctc_modeling-508c28b45e84e9ad245a12e1,领域概念,modeling_508c28b45e84e9ad245a12e1,171,silver,analysis_method,0,necessary_prerequisite,A,True,ok,accepted
ctc:modeling-542407d995b04730d1803912,ctc_modeling-542407d995b04730d1803912,用线性微分方程描述的元件或系统,modeling_542407d995b04730d1803912,16,silver,theoretical_construct,0,formal_objective,A,False,ok,accepted
ctc:modeling-54c8aa23c2b86182e3cd9bd8,ctc_modeling-54c8aa23c2b86182e3cd9bd8,在经典控制理论中,modeling_54c8aa23c2b86182e3cd9bd8,84,silver,analysis_method,0,explicit_extension,A,True,ok,accepted
ctc:modeling-5727d74e4587f60fe7b011ae,ctc_modeling-5727d74e4587f60fe7b011ae,二阶微分方程,modeling_5727d74e4587f60fe7b011ae,55,silver,theoretical_construct,0,formal_objective,A,True,ok,accepted
ctc:modeling-591b33e87b9709fd8e130365,ctc_modeling-591b33e87b9709fd8e130365,为避免状态方程中出现输入导数项,modeling_591b33e87b9709fd8e130365,106,silver,analysis_method,0,explicit_extension,A,True,ok,accepted
ctc:modeling-59dac2e92350a8942f2838bf,ctc_modeling-59dac2e92350a8942f2838bf,领域概念,modeling_59dac2e92350a8942f2838bf,86,silver,analysis_method,0,explicit_extension,A,True,ok,accepted
ctc:modeling-5a8212ba438fbb1d8c953300,ctc_modeling-5a8212ba438fbb1d8c953300,An alternative approach to,modeling_5a8212ba438fbb1d8c953300,306,silver,analysis_method,0,explicit_extension,A,True,ok,accepted
ctc:modeling-6212bcf51507051ef6765954,ctc_modeling-6212bcf51507051ef6765954,状态空间表达式中n×n的系数矩阵,modeling_6212bcf51507051ef6765954,24,silver,theoretical_construct,0,explicit_extension,A,True,ok,accepted
ctc:modeling-655f0fd8bf0c0c43b2d79f1e,ctc_modeling-655f0fd8bf0c0c43b2d79f1e,device composed of electric,modeling_655f0fd8bf0c0c43b2d79f1e,101,silver,theoretical_construct,0,explicit_extension,A,True,ok,accepted
ctc:modeling-698adafe19696afc3498a321,ctc_modeling-698adafe19696afc3498a321,某一输出量仅受某一输入量控制的…,modeling_698adafe19696afc3498a321,28,silver,theoretical_construct,0,explicit_extension,A,True,ok,accepted
ctc:modeling-70434ed48871b3f245571e56,ctc_modeling-70434ed48871b3f245571e56,基于系统内部结构分析的数学模型,modeling_70434ed48871b3f245571e56,29,silver,theoretical_construct,0,explicit_extension,A,True,ok,accepted
ctc:modeling-71a76d12eda374c0191ffca3,ctc_modeling-71a76d12eda374c0191ffca3,两相伺服电动机时间常数Tm=J…,modeling_71a76d12eda374c0191ffca3,25,silver,theoretical_construct,0,formal_objective,A,True,ok,accepted
ctc:modeling-74c7bd3161fdfc16eaf91e7d,ctc_modeling-74c7bd3161fdfc16eaf91e7d,领域概念,modeling_74c7bd3161fdfc16eaf91e7d,117,silver,analysis_method,0,necessary_prerequisite,A,True,ok,accepted
ctc:modeling-799ffe58feb1471183f23786,ctc_modeling-799ffe58feb1471183f23786,离散系统结构图中的元件,modeling_799ffe58feb1471183f23786,64,silver,theoretical_construct,0,explicit_extension,A,True,ok,accepted
ctc:modeling-7aef273143199795496abedb,ctc_modeling-7aef273143199795496abedb,移动引出点或比较点,modeling_7aef273143199795496abedb,39,silver,analysis_method,0,formal_objective,A,True,ok,accepted
ctc:modeling-7b79aff5bd212553226ee1e7,ctc_modeling-7b79aff5bd212553226ee1e7,状态空间表达式中q×p的系数矩阵,modeling_7b79aff5bd212553226ee1e7,26,silver,theoretical_construct,0,explicit_extension,A,True,ok,accepted
ctc:modeling-7d3f65e0e26470e469650c4d,ctc_modeling-7d3f65e0e26470e469650c4d,领域概念,modeling_7d3f65e0e26470e469650c4d,239,silver,analysis_method,0,necessary_prerequisite,A,True,ok,accepted
ctc:modeling-7fa2352b16acf995839bcabf,ctc_modeling-7fa2352b16acf995839bcabf,representation of the motion,modeling_7fa2352b16acf995839bcabf,89,silver,theoretical_construct,0,explicit_extension,A,True,ok,accepted
ctc:modeling-82926f44dbd08d4b847f084c,ctc_modeling-82926f44dbd08d4b847f084c,根据结构图的信号线明确传递的信…,modeling_82926f44dbd08d4b847f084c,138,silver,analysis_method,0,formal_objective,A,True,ok,accepted
ctc:modeling-86c3ed202ffa91dda515b737,ctc_modeling-86c3ed202ffa91dda515b737,用拉普拉斯变换法求解线性定常微…,modeling_86c3ed202ffa91dda515b737,41,silver,analysis_method,0,formal_objective,A,True,ok,accepted
ctc:modeling-88620d843ba8358a9c157a2c,ctc_modeling-88620d843ba8358a9c157a2c,领域概念,modeling_88620d843ba8358a9c157a2c,85,silver,analysis_method,0,necessary_prerequisite,A,True,ok,accepted
ctc:modeling-88803865ceb9957c00782479,ctc_modeling-88803865ceb9957c00782479,离散化状态方程中用于从当前状态…,modeling_88803865ceb9957c00782479,76,silver,theoretical_construct,0,explicit_extension,A,True,ok,accepted
ctc:modeling-8c219613b911f03debf71de2,ctc_modeling-8c219613b911f03debf71de2,先列写网络的微分方程,modeling_8c219613b911f03debf71de2,74,silver,analysis_method,0,formal_objective,A,True,ok,accepted
ctc:modeling-8d1b0642d97aee74f32e4376,ctc_modeling-8d1b0642d97aee74f32e4376,考虑初始条件,modeling_8d1b0642d97aee74f32e4376,102,silver,analysis_method,0,formal_objective,A,True,ok,accepted
ctc:modeling-954f858741527b57a495472c,ctc_modeling-954f858741527b57a495472c,The operational amplifier in,modeling_954f858741527b57a495472c,96,silver,theoretical_construct,0,explicit_extension,A,True,ok,accepted
ctc:modeling-9693e33e440380c4bb0d1269,ctc_modeling-9693e33e440380c4bb0d1269,The distribution of internal,modeling_9693e33e440380c4bb0d1269,281,silver,theoretical_construct,0,necessary_prerequisite,A,True,ok,accepted
ctc:modeling-a18617af9cc8138f30c71543,ctc_modeling-a18617af9cc8138f30c71543,传递函数因式分解为一次因子和二…,modeling_a18617af9cc8138f30c71543,49,silver,theoretical_construct,0,formal_objective,A,True,ok,accepted
ctc:modeling-a30f001ebd5a123a456a51da,ctc_modeling-a30f001ebd5a123a456a51da,网络的单位阶跃响应,modeling_a30f001ebd5a123a456a51da,26,silver,theoretical_construct,0,formal_objective,A,True,ok,accepted
ctc:modeling-a6cbd3670d6f4922a66a4807,ctc_modeling-a6cbd3670d6f4922a66a4807,rectangular pulse of width,modeling_a6cbd3670d6f4922a66a4807,71,silver,theoretical_construct,0,necessary_prerequisite,A,True,ok,accepted
ctc:modeling-afa39b57a646673e84b55f09,ctc_modeling-afa39b57a646673e84b55f09,在电位器输出端接有负载时所产生…,modeling_afa39b57a646673e84b55f09,101,silver,theoretical_construct,0,formal_objective,A,True,ok,accepted
ctc:modeling-b3a99f432633e974b125d627,ctc_modeling-b3a99f432633e974b125d627,可控标准型与可观测标准型之间的…,modeling_b3a99f432633e974b125d627,20,silver,theoretical_construct,0,explicit_extension,A,True,ok,accepted
ctc:modeling-b51e05d922d0e35d648451de,ctc_modeling-b51e05d922d0e35d648451de,The complex plane used,modeling_b51e05d922d0e35d648451de,90,silver,theoretical_construct,0,necessary_prerequisite,A,True,ok,accepted
ctc:modeling-b699c4eaa00f8d6535c87e2e,ctc_modeling-b699c4eaa00f8d6535c87e2e,离散化状态方程中与输入 u(k…,modeling_b699c4eaa00f8d6535c87e2e,62,silver,theoretical_construct,0,explicit_extension,A,True,ok,accepted
ctc:modeling-bc3ed7b4cd301d0313edf349,ctc_modeling-bc3ed7b4cd301d0313edf349,通过设计前馈补偿器 G_d(s…,modeling_bc3ed7b4cd301d0313edf349,90,silver,analysis_method,0,explicit_extension,A,True,ok,accepted
ctc:modeling-bddaef2510e39cbb62d60df2,ctc_modeling-bddaef2510e39cbb62d60df2,表示对信号进行的数学变换,modeling_bddaef2510e39cbb62d60df2,49,silver,theoretical_construct,0,formal_objective,A,True,ok,accepted
ctc:modeling-c0090e2fe39e944d697af3d6,ctc_modeling-c0090e2fe39e944d697af3d6,通过设计串联补偿器 G_c(s…,modeling_c0090e2fe39e944d697af3d6,98,silver,analysis_method,0,explicit_extension,A,True,ok,accepted
ctc:modeling-c0359c7c7e3a044d422b43d4,ctc_modeling-c0359c7c7e3a044d422b43d4,将微分方程或积分方程通过拉氏变…,modeling_c0359c7c7e3a044d422b43d4,68,silver,analysis_method,0,formal_objective,A,True,ok,accepted
ctc:modeling-c04df490ee00ab5968835058,ctc_modeling-c04df490ee00ab5968835058,领域概念,modeling_c04df490ee00ab5968835058,160,silver,theoretical_construct,0,explicit_extension,A,True,ok,accepted
ctc:modeling-c0913d0807ab432c65d73f9d,ctc_modeling-c0913d0807ab432c65d73f9d,描述离散时间系统状态随时间演化…,modeling_c0913d0807ab432c65d73f9d,75,silver,theoretical_construct,0,explicit_extension,A,True,ok,accepted
ctc:modeling-c499b71d908bd8fe4124c533,ctc_modeling-c499b71d908bd8fe4124c533,首先考虑负载效应分别列写系统各…,modeling_c499b71d908bd8fe4124c533,75,silver,analysis_method,0,formal_objective,A,True,ok,accepted
ctc:modeling-c7e02ad3e9eb1c529a54d16a,ctc_modeling-c7e02ad3e9eb1c529a54d16a,离散化状态方程的解,modeling_c7e02ad3e9eb1c529a54d16a,22,silver,theoretical_construct,0,explicit_extension,A,True,ok,accepted
ctc:modeling-c800e57165a6a2552cbac118,ctc_modeling-c800e57165a6a2552cbac118,当 $b_n=0$ 时,modeling_c800e57165a6a2552cbac118,84,silver,analysis_method,0,explicit_extension,A,True,ok,accepted
ctc:modeling-cb573e77fe3892ee15580d09,ctc_modeling-cb573e77fe3892ee15580d09,状态空间表达式中q×n的系数矩阵,modeling_cb573e77fe3892ee15580d09,24,silver,theoretical_construct,0,explicit_extension,A,True,ok,accepted
ctc:modeling-cf63ae3c432de6daba31b636,ctc_modeling-cf63ae3c432de6daba31b636,通过选择状态变量 $x_1 =…,modeling_cf63ae3c432de6daba31b636,96,silver,analysis_method,0,explicit_extension,A,True,ok,accepted
ctc:modeling-d1d778fef91f78f0d3490f87,ctc_modeling-d1d778fef91f78f0d3490f87,The impulse response is,modeling_d1d778fef91f78f0d3490f87,108,silver,theoretical_construct,0,necessary_prerequisite,A,True,ok,accepted
ctc:modeling-db7aabf07d906f63b237e10d,ctc_modeling-db7aabf07d906f63b237e10d,"λ₁,",modeling_db7aabf07d906f63b237e10d,125,silver,theoretical_construct,0,formal_objective,A,True,ok,accepted
ctc:modeling-e4ceb6ad3afccdbda0ae3d91,ctc_modeling-e4ceb6ad3afccdbda0ae3d91,初始条件为零时,modeling_e4ceb6ad3afccdbda0ae3d91,37,silver,theoretical_construct,0,explicit_extension,A,True,ok,accepted
ctc:modeling-e4d5dedd058631068d41b452,ctc_modeling-e4d5dedd058631068d41b452,The process of analyzing,modeling_e4d5dedd058631068d41b452,324,silver,analysis_method,0,necessary_prerequisite,A,True,ok,accepted
ctc:modeling-e8a0502ecb67f574a5cb6c1b,ctc_modeling-e8a0502ecb67f574a5cb6c1b,流图余因子式 Δ_k,modeling_e8a0502ecb67f574a5cb6c1b,59,silver,theoretical_construct,0,formal_objective,A,True,ok,accepted
ctc:modeling-ef0228881c8874509244b517,ctc_modeling-ef0228881c8874509244b517,反映系统内部变量和输入变量间因…,modeling_ef0228881c8874509244b517,41,silver,theoretical_construct,0,formal_objective,A,True,ok,accepted
ctc:modeling-f1fa95c18225ac436316bb71,ctc_modeling-f1fa95c18225ac436316bb71,系统状态在状态空间中随时间变化…,modeling_f1fa95c18225ac436316bb71,19,silver,theoretical_construct,0,explicit_extension,A,False,ok,accepted
ctc:modeling-f3651eb0cd08666096abebe0,ctc_modeling-f3651eb0cd08666096abebe0,The steps to obtain,modeling_f3651eb0cd08666096abebe0,281,silver,analysis_method,0,necessary_prerequisite,A,True,ok,accepted
ctc:modeling-f6fc65484fb95cf89b67364f,ctc_modeling-f6fc65484fb95cf89b67364f,脉冲传递函数,modeling_f6fc65484fb95cf89b67364f,25,silver,theoretical_construct,0,explicit_extension,A,True,ok,accepted
ctc:modeling-f7f31cc3da9f59e28b9239f5,ctc_modeling-f7f31cc3da9f59e28b9239f5,由幂级数 $\mathrm{e…,modeling_f7f31cc3da9f59e28b9239f5,169,silver,theoretical_construct,0,explicit_extension,A,True,ok,accepted
ctc:modeling-fc65ded76a1e17c5fddcbd66,ctc_modeling-fc65ded76a1e17c5fddcbd66,求解齐次状态方程的一种方法,modeling_fc65ded76a1e17c5fddcbd66,135,silver,analysis_method,0,explicit_extension,A,True,ok,accepted
ctc:modeling-v2r-split-0045791b9009bbe457f6e17a,ctc_modeling-v2r-split-0045791b9009bbe457f6e17a,领域概念,modeling_v2r_split_0045791b9009bbe457f6e17a,154,silver,theoretical_construct,0,necessary_prerequisite,A,True,ok,accepted
ctc:v11g-01781c7700bbf33340d39614,ctc_v11g-01781c7700bbf33340d39614,系统临界稳定时的开环增益,critical_open_loop_gain,27,gold,mathematical_object,0,formal_objective,A,True,ok,accepted
ctc:v11g-076d3bf7d03f4a7a06d5371a,ctc_v11g-076d3bf7d03f4a7a06d5371a,K_H*,feedback_path_root_locus_gain,34,gold,mathematical_object,0,formal_objective,A,True,ok,accepted
ctc:v11g-11d00d2120a83f5e05efdb6e,ctc_v11g-11d00d2120a83f5e05efdb6e,当闭环极点为复数极点时,underdamped_system,35,gold,system_kind,0,formal_objective,A,True,ok,accepted
ctc:v11g-5a7e22337cb506e673b9affe,ctc_v11g-5a7e22337cb506e673b9affe,控制系统中包含有正反馈内回路的…,positive_feedback_system,18,gold,system_kind,0,formal_objective,A,False,ok,accepted
ctc:v11g-67c03c5207c095a08e761361,ctc_v11g-67c03c5207c095a08e761361,当所有闭环极点位于实轴上时,overdamped_system,36,gold,system_kind,0,formal_objective,A,True,ok,accepted
ctc:v11g-6b04c8283d317cd809eae369,ctc_v11g-6b04c8283d317cd809eae369,notch compensation,notch_compensation,148,gold,design_method,0,explicit_extension,A,True,ok,accepted
ctc:v11g-73552d8da29fbd2073b5f21a,ctc_v11g-73552d8da29fbd2073b5f21a,前向通路增益,forward_path_gain,27,gold,mathematical_object,0,formal_objective,A,True,ok,accepted
ctc:v11g-a066f5e5a1852fcde776a250,ctc_v11g-a066f5e5a1852fcde776a250,当闭环两个实数极点重合时,critically_damped_system,45,gold,system_kind,0,formal_objective,A,True,ok,accepted
ctc:v11g-c3abeee0067f823ed190d79e,ctc_v11g-c3abeee0067f823ed190d79e,开环传递函数中时间常数形式表示…,open_loop_gain,35,gold,mathematical_object,0,formal_objective,A,True,ok,accepted
ctc:v11g-c7228e5d5d171b0633b246e3,ctc_v11g-c7228e5d5d171b0633b246e3,反馈通路传递函数H(s)=1的…,unity_feedback_system,22,gold,system_kind,0,formal_objective,A,True,ok,accepted
ctkg:v3e-object-66dd287a007d9b2b74781de5,ctkg_v3e-object-66dd287a007d9b2b74781de5,采样控制系统,,38,gold,,20,,B,True,ok,accepted
ctkg:v3e-object-d09d1eba56a786a96d39d085,ctkg_v3e-object-d09d1eba56a786a96d39d085,稳定性,,28,silver,,13,,B,True,ok,accepted
